"",,,Percent,Percent,Percent,Percent
"",Percent of,Average,Meeting,Meeting,Meeting,Meeting
"",Graduates,Composite,English,Reading,Math,Science
State,Tested*,Score,Benchmark,Benchmark,Benchmark,Benchmark
Alabama,100,18.9,50,34,22,24
"",,,Percent,Percent,Percent,Percent
"",Percent of,Average,Meeting,Meeting,Meeting,Meeting
"",Graduates,Composite,English,Reading,Math,Science
State,Tested*,Score,Benchmark,Benchmark,Benchmark,Benchmark
